"Agency","Date","Agenda Section","Item Heading","Item Content","Relevance Score"
"City of San Jose","JANUARY 6, 2015 ","1. CEREMONIAL ITEMS ","1.1 Administer Oaths of Office for newly elected Councilmember Tam Nguyen and re-elected Councilmember Donald Rocha. (City Clerk)","Oaths of office for newly elected Councilmembers Chappie Jones, Raul Peralez, Magdalena Carrasco and newly elected Mayor Sam Liccardo to be administered during the Special Meeting in the eveningSee Separate Agenda.",""
"City of San Jose","JANUARY 6, 2015 ","2. CONSENT CALENDAR ","2.1 2015 2016 Council Appointment(s)","Memo from Councilmember Rocha Recommendation: (a) Council by motion waive the 10-day noticing requirement for the following item, consider the following recommendation. (b) Approve the Council Appointment(s) for 2015 2016. (Mayor)",""
"City of San Jose","JANUARY 13, 2015 ","1. CEREMONIAL ITEMS ","1.1 Administer Oath of Office for Interim District 4 Councilmember Marjorie Matthews. (City Clerk)","TO BE HEARD AT 9:30 A.M.",""
"City of San Jose","JANUARY 13, 2015 ","2. CONSENT CALENDAR ","2.1 Approval of Minutes.","",""
"City of San Jose","JANUARY 13, 2015 ","2. CONSENT CALENDAR ","2.2 Final Adoption of Ordinances.","Recommendation: Final adoption of ordinances. (a) ORD. NO. 29528 Approving a development agreement with Jackson Taylor Partners, LLC, relative to the development of the Japantown Corporation Yard Redevelopment Project on certain real property located at 696 North Sixth Street and authorizing the City Clerk to execute the development agreement and cause the same to be recorded with the Santa Clara County Recorders Office. DA14-003",""
"City of San Jose","JANUARY 13, 2015 ","2. CONSENT CALENDAR ","2.3 Approval of Council Committee Reports.","Recommendation: Approval of Council Committee Reports. (a) Rules and Open Government Committee Report of December 3, 2014. (Mayor) Memo from Mayor Liccardo Memo from Councilmembers Kalra, Peralez, Carrasco and Nguyen (b) Rules and Open Government Committee Report of December 10, 2014. (Mayor) (c) Public Safety, Finance, and Strategic Support Committee Report of December 11, 2014. (Constant)",""
"City of San Jose","JANUARY 13, 2015 ","2. CONSENT CALENDAR ","2.4 Mayor and Council Excused Absence Requests.","",""
"City of San Jose","JANUARY 13, 2015 ","2. CONSENT CALENDAR ","2.5 City Council Travel Reports.","",""
"City of San Jose","JANUARY 13, 2015 ","2. CONSENT CALENDAR ","2.6 Report from the Council Liaison to the Retirement Boards.","",""
"City of San Jose","JANUARY 13, 2015 ","2. CONSENT CALENDAR ","2.7 Grant Application for Rubberized Pavement Grant Program Resolution Letter","Recommendation: Adopt a resolution authorizing the City Manager or designee to: (a) Submit a grant application to the Department of Resources Recycling and Recovery (CalRecycle) Rubberized Pavement Grant; and (b) Negotiate and execute all necessary grant documents to accept grant funding. CEQA: Exempt, File No. PP14-069. (Transportation)",""
"City of San Jose","JANUARY 13, 2015 ","2. CONSENT CALENDAR ","2.8 Actions Related to Changes in Council Committees","Recommendation: (a) Adopt a resolution directing the City Auditor to report all audits to the specific Council Committee having jurisdiction for the subject matter of the audit, as designated by the City Manager; and (b) Adopt a resolution amending the Councils Rules for the Conduct of Its Meetings, Superseding Resolution No. 77136, to increase the composition of the Rules and Open Government Committee to five members, to notice Rules and Open Government Committee meetings as a Joint Meeting of the Rules and Open Government Committee/Committee of the Whole, and to notice other Standing Council Committees as a Joint Meeting of the Standing Committee/Committee of the Whole when non-Standing Committee Councilmembers notify the Committee secretary of their planned participation. CEQA: Not a Project, File No. PP10-068(c), Municipal Code or Policy. (City Attorney)",""
"City of San Jose","JANUARY 13, 2015 ","2. CONSENT CALENDAR ","2.9 District 10s Tartan Day Flag Raising","Recommendation: As recommended by the Rules and Open Government Committee on January 7, 2015: (a) Approve the Tartan Day Flag Raising scheduled on Tuesday, April 7, 2015 as a City Council sponsored Special Event and approve the expenditure of funds; and (b) Approve and accept donations from various individuals, businesses, or community groups to support the event. CEQA: Not a Project. (Khamis) [Rules Committee referral 1/7/15 Item G(4)]",""
"City of San Jose","JANUARY 13, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.1 Report of the Interim City Manager, Norberto Dueas (Verbal Report).","",""
"City of San Jose","JANUARY 13, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.2 Labor Negotiations Update.","Recommendation: Accept Labor Negotiations Update. TO BE HEARD AT 9:30 A.M.",""
"City of San Jose","JANUARY 13, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.3 Audit of Accounts Receivables","Recommendation: As recommended by the Public Safety, Finance, and Strategic Support Committee on December 11, 2014, accept the Audit of Accounts Receivables. (City Auditor) [Public Safety, Finance, and Strategic Support Committee referral 12/11/14 Item D(3)] DEFERRED TO 1/27/15 PER ADMINISTRATION",""
"City of San Jose","JANUARY 13, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.4 Appointment of the Vice Mayor","Recommendation: Approve the appointment of the Vice Mayor. (Mayor)",""
"City of San Jose","JANUARY 13, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.1 2015-2016 Hazardous Vegetation Commencement Report from the Santa Clara County Department of Agriculture and Environmental Management","Recommendation: Conduct a Public Hearing and adopt a resolution: (a) Overruling any and all objections to the 2015-2016 Hazardous Vegetation Commencement Report; and (b) Directing the Santa Clara County Department of Agriculture and Environmental Management to abate the seasonal and/or recurrent public nuisances on those properties identified in the Report pursuant to Chapter 9.12 of Title 9 of the San Jose Municipal Code and the Weed Abatement Agreement between the City of San Jose and the County of Santa Clara. CEQA: Exempt, File No. PP13-097. (Planning, Building and Code Enforcement)",""
"City of San Jose","JANUARY 13, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.2 Amendment to Title 23 Sign Code Ordinance for Large Outdoor Stadium Spaces","Supplemental Recommendation: Approve the proposed ordinance amending Title 23 (the Sign Code) of the San Jose Municipal Code to: (a) Modify and add general and specific provisions in Parts 1 and 2 of Chapter 23.02 and Part 1 of Chapter 23.04 pertaining to signage within the Commercial and Industrial Zoning Districts and Neighborhood Business Districts of the City to add new definitions for Airport Influence Area, Outdoor Stadium Spaces (Large), Scoreboard Sign, and Sponsorship Marketing Plan; and to allow Large Outdoor Stadium Spaces to apply for a permit for larger and additional Signs than would otherwise be allowable, including: (Item continued on the next page) Recommendation: (a) (1) Larger and additional Attached Signs, including flexibility in the placement of such Signs; (2) An additional Flat Roof-Top Sign; (3) Additional free-standing Banner Signs; (4) A larger Free-standing Sign with a programmable component and displaying advertising pursuant to a sponsorship market plan; and (5) A new Scoreboard Sign with a programmable component and displaying advertising pursuant to a sponsorship market plan, including the potential to display video and animation between the hours of 6:00 a.m. and 12:00 a.m. (midnight). (b) Update and add text to align with federal and state law and the Citys policy and practice regarding substitution of noncommercial messages, and to eliminate obsolete terminology, and to correct typographic errors, all as further described in this staff report and the attached ordinance. CEQA: Final Environmental Impact Report (EIR) entitled, Airport West Stadium and Great Oaks Place Project Final EIR (2010 Stadium Final EIR, SCH# 2009052053), Resolution No. 75309 and Addenda thereto, File No. PD14-018 and Negative Declaration File No. PP13-067. (Planning, Building and Code Enforcement)",""
"City of San Jose","JANUARY 13, 2015 ","5. NEIGHBORHOOD SERVICES ","5.1 Naming of the New Library Located at 4001 Evergreen Village Square","Recommendation: As recommended by the Library and Early Education Commission, name the new library at 4001 Evergreen Village Square, as John J. Montgomery Village Square Library. CEQA: Not a Project, File No. PP10-069. (City Clerk) (Deferred from 12/16/14 Item 2.16) DEFERRED TO MARCH 2015 PER DISTRICT 8",""
"City of San Jose","JANUARY 13, 2015 ","7. ENVIRONMENTAL & UTILITY SERVICES ","7.1 Phillips 66 Oil Train Proposal","Supplemental submitted to the Rules and Open Government Committee 1/7/15 Supplemental from the Director of Environmental Services Supplemental from the Director of Intergovernmental Relations Recommendation: As recommended by the Rules and Open Government Committee on January 7, 2015, prepare a letter to be sent on behalf of the City of San Jose in opposition of the proposed Phillips 66 oil train offloading facility in San Luis Obispo County. (Kalra) [Rules Committee referral 1/7/15 Item G(2)]",""
"City of San Jose","JANUARY 27, 2015 ","1. CEREMONIAL ITEMS ","1.1 Presentation of a commendation to Commander Krissa A. Baylor, for more than 26 years of outstanding leadership, exceptional service, and commitment to excellence as a member of the United States Navy. (Herrera)","TO BE HEARD IN THE EVENING",""
"City of San Jose","JANUARY 27, 2015 ","1. CEREMONIAL ITEMS ","1.2 Presentation of a proclamation recognizing January 27, 2015 as International Holocaust Remembrance Day in the City of San Jos. (Herrera)","",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.1 Approval of Minutes.","Recommendation: Approval of minutes. (a) Regular Minutes of October 7, 2014. (b) Regular Minutes of October 21, 2014. (c) Work Force Support and Development Strategy Study Session of October 24, 2014. (d) Regular Minutes of October 28, 2014.",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.2 Final Adoption of Ordinances.","Recommendation: Final adoption of ordinances. (a) ORD. NO. 29529 Amending Title 23 of the San Jose Municipal Code (the Sign Code) as follows: to amend Part 1 of Chapter 23.02 to add new Sections 23.02.015 to define Airport Influence Area, 23.02.355 to define Non-Commercial Speech, 23.02.367 to define Large Outdoor Stadium Space, 23.02.485 to define Scoreboard Sign and 23.02.525 to define Sponsorship Marketing Plan; to amend Part 2 of Chapter 23.02 to make minor corrections to Section 23.02.905 Limitations on Programmable Electronic Signs, revise Sections 23.02.910 Computation of Area of Sign, 23.02.1010 Prohibited Signs, Prohibited Displays, and Section 23.1190 No Limitation on Message; and to amend Part 1 of Chapter 23.04 to add new Section 23.04.032, Large Outdoor Stadium Space, to allow more overall signage for large outdoor stadium spaces, including larger and additional attached signs and greater flexibility in placement of such signs, an additional rooftop sign and increasing the total square footage for rooftop signs, a larger freestanding programmable electronic sign displaying messaging pursuant to a sponsorship marketing plan, a new programmable electronic scoreboard sign displaying messaging pursuant to a sponsorship marketing plan, freestanding banner signs; and to make other nonsubstantive, ministerial, technical, or typographical changes to said Chapters 23.02 and 23.04 of Title 23 of the San Jose Municipal Code.",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.3 Approval of Council Committee Reports.","Recommendation: Approval of Council Committee Reports. (a) Rules and Open Government Committee Report of January 7, 2015. (Mayor)",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.4 Mayor and Council Excused Absence Requests","Recommendation: Request for an excused absence for Vice Mayor Herrera from the Regular Meeting of the Rules and Open Government Committee on January 14, 2015 due to Authorized City Business: 2015 Womens Policy Summit. (Herrera)",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.5 City Council Travel Reports.","",""
